Source,Target,Type,Id,Label,Weight
10,39,Directed,0,,1
4,10,Directed,1,,1
4,39,Directed,2,,1
37,30,Directed,3,,1
37,1,Directed,4,,1
31,30,Directed,5,,1
31,37,Directed,6,,1
1,30,Directed,7,,1
1,37,Directed,8,,1
12,1,Directed,9,,1
4,37,Directed,10,,1
4,1,Directed,11,,1
4,30,Directed,12,,1
4,31,Directed,13,,1
34,1,Directed,14,,1
34,4,Directed,15,,1
15,1,Directed,16,,1
6,1,Directed,17,,1
4,6,Directed,18,,1
25,1,Directed,19,,1
25,4,Directed,20,,1
24,1,Directed,21,,1
24,4,Directed,22,,1
38,1,Directed,23,,1
4,33,Directed,24,,1
1,33,Directed,25,,1
11,1,Directed,26,,1
4,11,Directed,27,,1
18,1,Directed,28,,1
18,29,Directed,29,,1
18,27,Directed,30,,1
28,1,Directed,31,,1
27,29,Directed,32,,1
28,29,Directed,33,,1
28,3,Directed,34,,1
28,27,Directed,35,,1
28,18,Directed,36,,1
3,18,Directed,37,,1
3,27,Directed,38,,1
3,29,Directed,39,,1
3,1,Directed,40,,1
2,1,Directed,41,,1
2,3,Directed,42,,1
42,3,Directed,43,,1
42,2,Directed,44,,1
42,1,Directed,45,,1
4,3,Directed,46,,1
5,39,Directed,47,,1
16,1,Directed,48,,1
43,1,Directed,49,,1
44,1,Directed,50,,1
39,16,Directed,51,,1
2,39,Directed,52,,1
39,10,Directed,53,,1
39,45,Directed,55,,1
45,16,Directed,56,,1
1,2,Directed,57,,1
1,3,Directed,58,,1
45,1,Directed,59,,1
45,3,Directed,60,,1
33,2,Undirected,204,,1
32,1,Directed,63,,1
3,5,Directed,64,,1
2,5,Directed,65,,1
17,32,Directed,66,,1
39,3,Directed,68,,1
1,39,Directed,69,,1
19,1,Directed,70,,1
27,33,Undirected,203,,1
1,16,Directed,75,,1
39,1,Directed,78,,1
39,6,Directed,79,,1
39,41,Directed,80,,1
5,3,Directed,81,,1
1,27,Directed,82,,1
29,1,Directed,83,,1
3,2,Directed,91,,1
41,1,Directed,97,,1
1,41,Directed,98,,1
26,2,Directed,100,,1
1,26,Directed,101,,1
5,1,Directed,105,,1
4,2,Directed,122,,1
1,4,Directed,125,,1
3,4,Directed,126,,1
35,6,Directed,133,,1
19,6,Directed,134,,1
10,1,Directed,136,,1
2,4,Directed,141,,1
35,4,Directed,144,,1
16,35,Directed,146,,1
21,1,Directed,149,,1
4,21,Directed,150,,1
19,2,Directed,156,,1
5,2,Directed,158,,1
35,10,Directed,159,,1
35,1,Directed,160,,1
35,2,Directed,161,,1
35,3,Directed,162,,1
1,6,Directed,165,,1
33,1,Directed,168,,1
10,3,Directed,173,,1
10,2,Directed,174,,1
10,5,Directed,175,,1
10,16,Directed,176,,1
5,47,Directed,178,,1
45,2,Directed,179,,1
45,46,Directed,180,,1
46,39,Directed,181,,1
47,48,Directed,182,,1
48,5,Directed,183,,1
49,1,Directed,184,,1
49,5,Directed,185,,1
41,39,Directed,186,,1
49,50,Directed,188,,1
50,1,Directed,189,,1
51,50,Directed,190,,1
16,43,Undirected,191,,1
16,44,Undirected,192,,1
16,2,Undirected,193,,1
16,3,Undirected,194,,1
21,3,Undirected,195,,1
21,16,Undirected,198,,1
21,2,Undirected,199,,1
21,33,Undirected,200,,1
1,31,Undirected,201,,1
44,43,Undirected,202,,1
33,10,Undirected,205,,1
33,3,Undirected,206,,1
52,1,Undirected,207,,1
2,52,Undirected,208,,1
3,52,Undirected,209,,1
4,52,Undirected,210,,1
33,52,Undirected,211,,1
6,33,Undirected,212,,1
19,3,Undirected,213,,1
1,53,Undirected,214,,1
33,53,Undirected,215,,1
4,53,Undirected,216,,1
10,11,Undirected,217,,1
32,54,Undirected,218,,1
3,54,Undirected,219,,1
2,54,Undirected,220,,1
19,16,Undirected,221,,1
19,3,Undirected,223,,1
54,1,Undirected,224,,1
2,53,Undirected,225,,1
3,53,Undirected,226,,1
47,26,Undirected,228,,1
1,47,Undirected,229,,1
32,27,Undirected,230,,1
32,29,Undirected,231,,1
6,10,Undirected,232,,1
19,39,Undirected,233,,1
1,55,Undirected,234,,1
41,56,Undirected,235,,1
56,1,Undirected,237,,1
57,56,Undirected,238,,1
29,56,Undirected,239,,1
27,56,Undirected,240,,1
