Id,Label,casa,pageranks,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,componentnumber,modularity_class
1,HARRY,Gryffindor,0.139242,50,50,2,0.901961,0.945652,714.11912,0.626882,0.302206,0,3
2,HERMIONE,Gryffindor,0.050734,21,21,3,0.589744,0.673913,30.750072,0.366102,0.24081,0,0
3,RON WEASLEY,Gryffindor,0.059116,24,24,3,0.613333,0.706522,53.916739,0.406661,0.239397,0,0
4,HAGRID,Hogwarts Staff,0.056449,21,21,3,0.589744,0.681159,49.677417,0.166744,0.346996,0,1
5,NEVILLE,Gryffindor,0.027879,10,10,3,0.528736,0.576087,34.2,0.10579,0.212713,0,3
6,QUIRRELL,Hogwarts Staff,0.021829,8,8,3,0.516854,0.561594,1.494877,0.169102,0.113349,0,1
10,DUMBLEDORE,Hogwarts Staff,0.033073,12,12,3,0.547619,0.608696,7.306782,0.143353,0.250079,0,1
11,LILIAN POTTER,Gryffindor,0.011301,3,3,3,0.489362,0.514493,0,0.075403,0.079167,0,1
12,SNAKE,Criatura,0.00608,1,1,3,0.479167,0.492754,0,0,0.079167,0,3
15,DORIS,Beco diagonal,0.00608,1,1,3,0.479167,0.492754,0,0,0.079167,0,3
16,DRACO MALFOY,Slytherin,0.034071,12,12,3,0.541176,0.605072,11.630231,0.179713,0.187037,0,2
17,THE FAT LADY,Gryffindor,0.006727,1,1,4,0.338235,0.355072,0,0,0,0,4
18,MRS. WEASLEY,Gryffindor,0.017427,5,5,3,0.5,0.536232,0,0.050688,0.104219,0,4
19,SEVERUS SNAPE,Slytherin,0.019056,6,6,3,0.511111,0.550725,0.485714,0,0.248552,0,0
21,FIRENZE,Centauro,0.018991,6,6,3,0.505495,0.547101,0.342857,0.043821,0.21553,0,0
24,GRIPHOOK,Goblin,0.008746,2,2,3,0.484211,0.503623,0,0,0.100225,0,3
25,GOBLIN,Goblin,0.008746,2,2,3,0.484211,0.503623,0,0,0.100225,0,3
26,PROFESSOR FLITWICK,Hogwarts Staff,0.012145,3,3,3,0.494624,0.518116,0.333333,0.038793,0.046234,0,3
27,FRED WEASLEY,Gryffindor,0.027208,8,8,3,0.528736,0.576087,8.166667,0.116372,0.030054,0,4
28,GINNY,Gryffindor,0.017427,5,5,3,0.5,0.536232,0,0,0.161976,0,4
29,GEORGE WEASLEY,Gryffindor,0.024556,7,7,3,0.522727,0.565217,5.166667,0.082003,0.082787,0,4
30,DUDLEY,Trouxa,0.015208,4,4,3,0.494624,0.525362,0,0.096412,0,0,1
31,UNCLE VERNON,Trouxa,0.015208,4,4,3,0.494624,0.525362,0,0.081986,0.022894,0,1
32,PERCY,Gryffindor,0.020781,5,5,3,0.505495,0.539855,45.666667,0,0.113691,0,4
33,VOLDEMORT,Slytherin,0.030138,11,11,3,0.528736,0.59058,4.952381,0.127314,0.233514,0,0
34,TOM (BARTENDER),Beco diagonal,0.008746,2,2,3,0.484211,0.503623,0,0,0.100225,0,3
35,FILCH,Hogwarts Staff,0.021635,7,7,3,0.511111,0.557971,0.628571,0.02362,0.237273,0,1
37,AUNT PETUNIA,Trouxa,0.015208,5,5,3,0.494624,0.525362,0,0.084877,0.091343,0,1
38,OLLI,Beco diagonal,0.00608,1,1,3,0.479167,0.492754,0,0,0.079167,0,3
39,MCGONAGALL,Gryffindor,0.037323,15,15,3,0.554217,0.619565,37.113348,0.219693,0.204004,0,2
41,OLIVER WOOD,Gryffindor,0.012333,5,5,3,0.5,0.521739,1.666667,0.063928,0.110532,0,4
42,PEDRO PETTIGREW,Gryffindor,0.01113,3,3,3,0.489362,0.514493,0,0,0.176757,0,0
43,CRABBE,Slytherin,0.012156,3,3,3,0.489362,0.514493,0,0.034163,0.079167,0,2
44,GOYLE,Slytherin,0.012156,3,3,3,0.489362,0.514493,0,0.02362,0.083481,0,2
45,SELECTOR HAT,Hogwarts Staff,0.020096,6,6,3,0.511111,0.550725,16.08189,0.025763,0.202685,0,2
46,SUSAN,Hufflepuff,0.008679,2,2,4,0.362205,0.393116,0,0.025596,0.027744,0,2
47,SIMAS,Gryffindor,0.016597,4,4,3,0.5,0.528986,15.133333,0.065028,0.004978,0,3
48,THOMAS,Gryffindor,0.009681,2,2,4,0.353846,0.382246,0,0.000629,0.01336,0,3
49,MADAME HOOCH,Hogwarts Staff,0.013791,3,3,3,0.5,0.521739,1.666667,0,0.094051,0,3
50,LINO JORDAN,Gryffindor,0.01674,3,3,3,0.494624,0.518116,45,0.01207,0.079167,0,3
51,ANGELINA JOHNSON,Gryffindor,0.007941,1,1,4,0.333333,0.347826,0,0,0.001524,0,3
52,FLUFFY,Criatura,0.016358,5,5,3,0.5,0.536232,0,0.133955,0.079167,0,0
53,JAMES POTTER,Gryffindor,0.016358,5,5,3,0.5,0.536232,0,0.172119,0,0,0
54,NEARLY HEADLESS NICK,Fantasma,0.014666,4,4,3,0.5,0.528986,1.5,0.075001,0.079167,0,0
55,WILL THEAKSTON,Slytherin,0.00608,1,1,3,0.479167,0.492754,0,0.038165,0,0,3
56,JAMIE YEATES,Slytherin,0.021224,5,5,3,0.505495,0.539855,46,0.028666,0.079167,0,4
57,ADRIAN PUCEY,Slytherin,0.006802,1,1,4,0.338235,0.355072,0,0,0.00362,0,4
